,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,,cos2.15x,,,tanh
0,22,13,0.252406967,[ 330.68269231  213.61057692   18.        ],[ 0.53532402 -0.84460515 -0.00838609],-32.36716549,0.818181818,1,1,0,,0.039215245,,,,0.082190606,,0.056881807,
0,23,13,0.225710076,[ 203.1344086   182.12365591   15.        ],[-0.68903969 -0.72436172  0.02290006],43.56843063,0.681818182,1,-1,0,,-0.062171451,,,,-0.120083044,,-0.104972592,
0,CONT4,,,,,,,,,,,0,1.303115119,,,0,4.422104488,0,4.941948431
0,1,13,88.37201321,[ 196.78693974  155.31044903   11.87755663],[  1.62315094e-03  -9.99998678e-01   9.44296768e-05],-0.09299974,0.516415506,0,1,1,,0.000116413,,,,0.00026906,,1.083374009,
0,2,12,64.33467024,[ 210.42836657  130.95303685   11.87450707],[  1.04079113e-01  -9.94569018e-01   7.62755390e-05],-5.974112959,0.516282916,0,1,1,,0.349400224,,,,0.804903943,,1.38812869,
0,3,13,9.856743002,[ 256.31982759  362.10603448    4.57524631],[ 0.49798672  0.86717389 -0.00432071],29.86719848,0.198923752,0,1,1,,1.309153007,,,,2.784512131,,1.829115691,
0,4,12,9.340842044,[ 102.91319038  195.21026641    7.66302794],[-0.77369321 -0.63355675 -0.00215961],50.68686717,0.333175128,1,-1,0,,-3.422874703,,,,-6.189170409,,-5.935975243,
0,5,12,4.389406736,[ 256.09264381  375.13357301    4.08268805],[ 0.44615274  0.89494705 -0.00418496],26.49736445,0.177508176,0,1,0,,0.461085734,,,,0.998397252,,0.618157292,
0,6,9,4.0531607,[ 110.29619647  397.30548068   11.23539982],[ -5.99050701e-01   8.00711070e-01  -2.00029157e-04],-36.80194018,0.488495644,1,-1,0,,-0.807749994,,,,-1.644202805,,-1.255486257,
0,7,16,0.869141378,[ 257.04888268  389.16340782   14.62430168],[ 0.40660566  0.91360263  0.00144114],23.99181153,0.635839203,0,1,0,,0.075090706,,,,0.164533436,,0.098837541,
0,8,12,0.501334342,[ 184.26150121  179.59564165    9.        ],[-0.14191341 -0.98987719 -0.00192997],8.158597768,0.391304348,0,-1,0,,-0.005073986,,,,-0.011655621,,-0.013323333,
0,9,13,0.479484419,[ 103.76455696  110.66835443   12.        ],[ -4.91608046e-01  -8.70816582e-01   1.01227215e-04],29.44632885,0.52173913,0,-1,0,,-0.061941434,,,,-0.132057394,,-0.08603548,
0,10,16,0.422431843,[ 129.34770115  352.95114943   14.60344828],[-0.66983613  0.74250693  0.00173652],-42.0544964,0.634932534,1,-1,0,,-0.108772798,,,,-0.212753759,,-0.18102082,
0,11,12,0.382373651,[ 189.23174603  167.41904762   12.        ],[ -7.47327103e-02  -9.97203584e-01   1.82571994e-04],4.285864703,0.52173913,0,-1,0,,-0.001069269,,,,-0.002467177,,-0.007018411,
0,12,12,0.29254619,[  71.69294606  234.37344398    7.        ],[-0.95522895 -0.29585857 -0.0023138 ],72.79092445,0.304347826,1,-1,0,,-0.205993661,,,,-0.280414807,,-0.274401962,
0,13,30,0.268268498,[ 139.7239819   155.22624434   17.        ],[-0.4384486  -0.89875231  0.00266552],26.00503684,0.739130435,0,-1,0,,-0.027160708,,,,-0.058954353,,-0.036244974,
0,14,12,0.252487998,[ 153.26923077  190.75          7.        ],[-0.48175638 -0.8762988  -0.00334637],28.80035325,0.304347826,0,-1,0,,-0.031231829,,,,-0.066821929,,-0.043004929,
0,15,13,0.242776921,[ 321.885  192.59    13.   ],[  8.59143231e-01  -5.11734862e-01   5.82619135e-04],-59.22053697,0.565217391,1,1,0,,0.118539486,,,,0.194989161,,0.194361175,
0,16,30,0.208788152,[ 132.40697674  164.44186047   16.        ],[-0.51396206 -0.85781001  0.00223572],30.92818845,0.695652174,1,-1,0,,-0.029687139,,,,-0.062759692,,-0.042124208,
0,17,12,0.206360383,[ 119.48823529  208.06470588    5.        ],[-0.77397831 -0.63319737 -0.00431959],50.71314799,0.217391304,0,-1,0,,-0.075692312,,,,-0.136829017,,-0.131261898,
0,CONT5,,,,,,,,,,,0,-2.463862264,,,0,3.850481977,0,2.793923117
0,1,12,76.95456787,[ 189.88912171  296.76879943   18.15517648],[-0.99384937  0.11012498  0.01165822],-83.67704846,0.504310458,1,-1,0,,-68.47937176,,,,-76.95451571,,-75.23784015,
0,2,13,33.04363373,[ 228.9747414   365.92745455   18.72160555],[-0.50212241  0.86477373  0.00628376],-30.14117419,0.520044599,1,-1,0,,-4.467803316,,,,-9.488088999,,-6.266763519,
0,3,13,16.91074585,[ 187.35334408  212.97904915   16.96488047],[-0.70777977 -0.70639647  0.00719903],45.05604459,0.47124668,1,-1,0,,-4.964745081,,,,-9.466852054,,-8.47853091,
0,4,16,5.159980469,[ 283.16571303  287.24537852   20.64194542],[ 0.87133697  0.49068141  0.00190691],60.61456258,0.573387373,1,1,0,,2.628069355,,,,4.249433256,,4.238620971,
0,5,16,3.067145081,[ 317.25323954  359.51055165   17.99962977],[ 0.44033159  0.89781499 -0.00602803],26.12555052,0.499989716,0,1,0,,0.313366227,,,,0.67978424,,0.418632794,
0,6,13,1.556851501,[ 162.06053975  329.03938731   12.59956236],[-0.94455189  0.32829444  0.00666962],-70.83426918,0.349987843,1,-1,0,,-1.045734433,,,,-1.467599023,,-1.441451458,
0,7,16,1.028816528,[ 232.43818985  359.60927152   18.57726269],[-0.49793319  0.86719406  0.00608271],-29.86396324,0.516035075,0,-1,0,,-0.136616437,,,,-0.290582585,,-0.19086831,
0,8,12,0.860753784,[ 171.50131926  189.98153034   20.        ],[-0.66472592 -0.74703107  0.00916738],41.66344437,0.555555556,1,-1,0,,-0.217716946,,,,-0.427195093,,-0.360817213,
0,9,13,0.857347107,[ 149.76953642  304.98145695   20.        ],[-0.99367725  0.11148325  0.0133044 ],-83.59860579,0.555555556,1,-1,0,,-0.761758808,,,,-0.857342591,,-0.838077235,
0,10,12,0.808518066,[ 235.66151685  174.3497191    26.25      ],[-0.20364603 -0.9790023   0.00909921],11.75074375,0.729166667,0,-1,0,,-0.016944251,,,,-0.038667316,,-0.030187297,
0,11,12,0.598439636,[ 248.59962049  423.83491461   11.89184061],[-0.23330309  0.97240276 -0.00159601],-13.49163438,0.330328906,0,-1,0,,-0.016514543,,,,-0.037534029,,-0.026305927,
0,12,13,0.579135132,[ 248.6254902   274.73921569   21.        ],[-0.92617684 -0.37642517  0.02237297],67.88174705,0.583333333,1,-1,0,,-0.361079513,,,,-0.529476551,,-0.523233094,
0,13,17,0.493968201,[ 208.68735632  279.34712644   23.39310345],[-0.99312688 -0.11533143  0.01994164],83.37593518,0.649808429,1,-1,0,,-0.436986812,,,,-0.493947505,,-0.482627023,
