,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,atan,,
0,2,2,12.38888648,[ 385.41240496  247.72541016   14.09939976],[ 0.93706255 -0.34758634 -0.03312873],-69.64857858,0.486186199,1,1,0,,11.54512062,,,11.36704647,,
0,3,7,10.47626847,[ 171.71171683  236.15370055   11.57013061],[-0.91304159 -0.40684451  0.02885487],65.98260467,0.398970021,1,-1,0,,-9.358094869,,,-9.282279116,,
0,4,19,9.981506222,[ 363.54633953  279.11075792    9.53054535],[ 0.99264579 -0.11449301 -0.03931514],-83.42050699,0.328639495,1,1,0,,9.981189097,,,9.753310943,,
0,5,19,8.830365989,[ 146.59139906  230.48113631   10.87177184],[-0.93775028 -0.34602944  0.02980006],69.74596155,0.374888684,1,-1,0,,-8.237062982,,,-8.108369386,,
0,6,2,4.345777468,[ 141.52977413  192.86447639   15.05179101],[-0.82387879 -0.56600246  0.02941004],55.51104203,0.519027276,1,-1,0,,-3.237873926,,,-3.200223934,,
0,7,13,0.763460792,[ 131.77532468  333.7038961    17.94545455],[-0.83580056  0.54809203  0.03213326],-56.74438261,0.618808777,1,-1,0,,-0.584019074,,,-0.579560678,,
0,8,7,0.634564814,[ 356.8875     181.6578125   13.6640625],[ 0.63782186 -0.76984336 -0.02290125],-39.64204121,0.471174569,1,1,0,,0.290900594,,,0.236053336,,
0,9,13,0.604819588,[ 125.59344262  279.60327869   13.51311475],[-0.99229892  0.1190759   0.03411417],-83.15722499,0.465969474,1,-1,0,,-0.604751936,,,-0.590640337,,
0,10,13,0.537397077,[ 344.00553506  270.35055351   15.20479705],[ 0.97732517 -0.20908391 -0.03345777],-77.92446508,0.524303346,1,1,0,,0.531065957,,,0.516710263,,
0,11,13,0.407509591,[ 341.01216545  293.72262774   17.08029197],[ 0.9978878   0.05646985 -0.0321107 ],86.76112158,0.588975585,1,1,0,,0.406185127,,,0.400745288,,
0,12,19,0.400569039,[ 197.41584158  188.26980198   12.44306931],[-0.56291682 -0.82631881  0.01794082],34.26403818,0.429071355,1,-1,0,,-0.143962901,,,-0.103890161,,
0,13,13,0.376772858,[ 253.08684211  385.05789474    9.34736842],[ 0.11447638  0.99338881 -0.00859289],6.573667984,0.322323049,0,1,0,,0.005702477,,,0.008608918,,
0,14,13,0.313316377,[ 354.41772152  356.53164557   19.14240506],[ 0.85009447  0.52597636 -0.02623474],58.25380478,0.660082933,1,1,0,,0.247063063,,,0.245972417,,
0,15,13,0.278613614,[ 346.34875445  381.80427046   17.53380783],[ 0.73943723  0.67280563 -0.02377335],47.70129212,0.604614063,1,1,0,,0.169595452,,,0.157590618,,
0,16,19,0.253825926,[ 381.875       271.05078125   14.7890625 ],[ 0.98362493 -0.17694449 -0.03424383],-79.80212005,0.509967672,1,1,0,,0.252456201,,,0.245640429,,
0,17,13,0.242919343,[ 240.67755102  444.71428571    9.60408163],[ 0.0398933   0.99919525 -0.00416934],2.286344137,0.331175229,0,1,0,,0.000446736,,,0.003679223,,
0,18,13,0.221106177,[ 346.27802691  153.83408072   17.9103139 ],[ 0.50398634 -0.86357171 -0.0155454 ],-30.26812717,0.617597031,1,1,0,,0.063965108,,,0.042356303,,
0,CONT17,,,,,,,,,,,0,16.01751576,,0,15.41464657,
0,1,7,1.854656962,[ 295.06538267  177.2954891    22.40243284],[ 0.23175725 -0.97276847  0.00317419],-13.40061903,0.746747761,0,1,0,,0.114792703,,,0.080835589,,
0,2,19,0.694673844,[ 291.91610284  157.84573748   22.8511502 ],[ 0.18114548 -0.98345109  0.00320316],-10.43654218,0.761705007,0,1,0,,0.026297112,,,0.022913434,,
0,3,19,0.281065601,[ 296.51170569  202.01337793   22.56856187],[ 0.29997816 -0.95393653  0.00426716],-17.45645525,0.752285396,0,1,0,,0.029087504,,,0.017831736,,
0,CONT18,,,,,,,,,,,0,0.170177319,,0,0.121580759,
0,1,7,6.335458282,[ 180.4727842   181.21881021   17.04913295],[-0.62879197 -0.7772919  -0.02092761],38.97120221,0.568304432,1,-1,0,,-2.824961533,,,-2.260542457,,
0,2,19,1.472475251,[ 173.39896373  165.50621762   15.98756477],[-0.59279893 -0.80509148 -0.02042397],36.3646807,0.532918826,1,-1,0,,-0.585479491,,,-0.4427622,,
0,3,19,0.620270663,[ 144.95448954  197.47232472   18.49077491],[-0.79932428 -0.60033016 -0.02616076],53.09172621,0.616359164,1,-1,0,,-0.437006265,,,-0.426757804,,
0,4,7,0.289154466,[ 240.42480211  218.22691293   24.58047493],[-0.48345807 -0.87535399 -0.00486761],28.91187366,0.819349164,0,-1,0,,-0.077060254,,,-0.049697119,,
0,5,7,0.247192736,[ 170.30864198  239.76851852   22.        ],[-0.91746693 -0.39691212 -0.02674325],66.6058533,0.733333333,1,-1,0,,-0.222567197,,,-0.220505146,,
0,CONT19,,,,,,,,,,,0,4.14707474,,0,3.400264726,
0,1,7,14.2477566,[ 191.30054891  148.12098654   11.14519889],[-0.5155071  -0.85688318 -0.00191202],31.03141908,0.398042817,1,-1,0,,-4.308064653,,,-2.89778802,,
0,2,19,8.180755653,[ 171.75955998  131.84088528   11.67613934],[-0.56836992 -0.82277215 -0.0012775 ],34.6366656,0.417004976,1,-1,0,,-2.995127819,,,-2.179463406,,
0,3,3,6.786941731,[ 366.92754538  343.93875296   11.217206  ],[ 0.82994784  0.55783864 -0.00162428],56.09349241,0.4006145,1,1,0,,5.120939501,,,5.071877614,,
0,4,2,0.973848466,[ 198.16941694  360.99559956    7.        ],[-0.42030423  0.90736713 -0.00540726],-24.85418449,0.25,0,-1,0,,-0.196856957,,,-0.11929072,,
0,5,19,0.639590247,[ 200.62311558  159.58458961   10.08207705],[-0.49435859 -0.86925273 -0.00304677],29.62761493,0.36007418,0,-1,0,,-0.178099975,,,-0.116441874,,
0,6,7,0.604236012,[ 337.76950355  181.07624113    7.46985816],[ 0.71485205 -0.69925787 -0.00499859],-45.63180684,0.266780648,0,1,0,,0.344730576,,,0.31144321,,
0,7,19,0.449962988,[ 348.23333333  186.05714286    7.48095238],[ 0.77380328 -0.6334079  -0.00478588],-50.69746149,0.267176871,0,1,0,,0.298226604,,,0.286053136,,
0,8,2,0.344971624,[ 207.6863354   333.20807453    8.        ],[-0.46523541  0.88516565 -0.00614663],-27.72602727,0.285714286,0,-1,0,,-0.085230624,,,-0.053814001,,
0,9,2,0.33532956,[ 345.73801917  344.84025559    6.        ],[ 0.76741225  0.64112954 -0.00559919],50.12315152,0.214285714,0,1,0,,0.218820964,1.780662383,,0.208786443,0.511362383,
