,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm
0,tutorial3,,,,,,,,,
0,1,1,71.284,[ 67.67705235  96.13103922  88.87642388],[-0.83603354 -0.49842247  0.22939695],59.1976512586,0.522802493423,1,-1,0.0
